T_C;seria_Hmax_nom_A_per_m;branch;i;H_A_per_m;B_T
17.5;10000;desc;165;-3951.0;-0.12353
17.5;10000;desc;166;-4011.7;-0.12536
17.5;10000;desc;167;-4072.5;-0.12610
17.5;10000;desc;168;-4133.3;-0.12623
17.5;10000;desc;169;-4194.1;-0.12789
17.5;10000;desc;170;-4254.9;-0.13086
17.5;10000;desc;171;-4315.7;-0.13193
17.5;10000;desc;172;-4376.4;-0.13300
17.5;10000;desc;173;-4437.2;-0.13404
17.5;10000;desc;174;-4498.0;-0.13488
17.5;10000;desc;175;-4558.8;-0.13648
17.5;10000;desc;176;-4619.6;-0.13826
17.5;10000;desc;177;-4680.4;-0.13963
17.5;10000;desc;178;-4741.1;-0.14082
17.5;10000;desc;179;-4801.9;-0.14191
17.5;10000;desc;180;-4862.7;-0.14290
17.5;10000;desc;181;-4923.5;-0.14376
17.5;10000;desc;182;-4984.3;-0.14508
17.5;10000;desc;183;-5045.1;-0.14666
17.5;10000;desc;184;-5105.9;-0.14751
17.5;10000;desc;185;-5166.6;-0.14808
17.5;10000;desc;186;-5227.4;-0.14941
17.5;10000;desc;187;-5288.2;-0.15107
17.5;10000;desc;188;-5349.0;-0.15213
17.5;10000;desc;189;-5409.8;-0.15311
17.5;10000;desc;190;-5470.6;-0.15434
17.5;10000;desc;191;-5531.3;-0.15562
17.5;10000;desc;192;-5592.1;-0.15677
17.5;10000;desc;193;-5652.9;-0.15775
17.5;10000;desc;194;-5713.7;-0.15883
17.5;10000;desc;195;-5774.5;-0.15968
17.5;10000;desc;196;-5835.3;-0.16076
17.5;10000;desc;197;-5896.0;-0.16146
17.5;10000;desc;198;-5956.8;-0.16234
17.5;10000;desc;199;-6017.6;-0.16396
17.5;10000;desc;200;-6078.4;-0.16533
17.5;10000;asc;0;-6078.4;-0.16533
17.5;10000;asc;1;-6017.6;-0.16474
17.5;10000;asc;2;-5956.8;-0.16353
17.5;10000;asc;3;-5896.0;-0.16254
17.5;10000;asc;4;-5835.3;-0.16172
17.5;10000;asc;5;-5774.5;-0.16080
17.5;10000;asc;6;-5713.7;-0.16014
17.5;10000;asc;7;-5652.9;-0.15970
17.5;10000;asc;8;-5592.1;-0.15902
17.5;10000;asc;9;-5531.3;-0.15817
17.5;10000;asc;10;-5470.6;-0.15703
17.5;10000;asc;11;-5409.8;-0.15612
17.5;10000;asc;12;-5349.0;-0.15474
17.5;10000;asc;13;-5288.2;-0.15453
